# Benchmark LU (n = 256, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	1.0242805	1.3137255	1.0615097
2	1.8764415	2.5711062	1.9604131
3	2.132959	1.2393906	2.3978946
4	1.9808695	2.444206	2.1778202
6	2.699052	2.6488373	2.784841
8	3.0132275	2.7379808	3.199438
10	2.8333333	2.101476	2.6004567
12	2.5032966	1.9808695	2.3484535
14	2.2554455	1.7937008	2.101476
16	1.6271429	1.6774669	1.7336377
20	1.675	1.6874074	1.5350404
24	1.3046964	1.6225071	1.3017143
