# Benchmark LU (n = 512, m = 1)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	2.7038646	6.3004894	3.2908998
2	4.579322	11.767824	5.57316
3	6.068825	16.227732	7.3092356
4	7.6875	20.413319	9.466176
6	10.057813	25.046692	13.10998
8	12.046787	24.078554	14.843198
10	11.034857	20.742212	14.116228
12	11.386203	21.480534	15.028015
14	11.74635	21.291069	13.599296
16	11.898336	21.220879	13.308753
20	11.29959	23.322464	15.674513
24	9.882805	19.311	13.299587
28			
32			
