# Benchmark Primes (2 .. 4,194,306)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	1.0005583	1.0001668	0.98750746	0.9752073	0.98848724	0.9955211	0.9750488	0.9846669
2	1.9624308	1.5938627	1.5869036	1.9230281	1.9531388	1.7525923	1.7179216	1.9398229
3	2.6911407	2.2581847	2.2514186	2.8270042	2.8190818	2.5841212	2.5275085	2.857389
4	3.8175476	2.926409	2.9203525	3.745334	3.8123205	3.4351997	3.3513234	3.783321
6	5.5218062	4.2183266	4.2021265	5.4841285	5.4617486	5.0422664	4.9017434	5.549418
8	6.828651	5.447913	5.4996033	7.188824	7.2172747	6.6086845	6.4088945	7.2432585
10	8.169443	5.4349055	3.698559	8.12877	5.545668	7.5164866	7.2911854	8.218966
12	9.27555	6.119748	4.347106	9.058386	6.056517	8.441906	8.176084	9.211709
14	10.091712	6.621876	4.871725	9.974858	6.641479	9.22943	8.922065	9.909562
16	10.80054	7.225636	5.5769086	9.988597	7.596132	10.030363	9.75488	10.123162
20	11.2178135	7.916028	7.5444913	9.732351	8.732924	10.382341	10.275603	9.928492
24	11.283569	9.019871	9.53389	9.208446	9.941152	10.472647	10.6293545	8.9822
