# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	OpenMP (balance threads)	OpenMP (oversubscribe)	Work assisting (our)
1	0.942809	0.6765765	0.90523744	0.9048547	0.71819377
2	1.7874651	1.3419755	0.21961917	0.2381632	1.4248292
3	2.4525435	1.9655406	1.2288125	0.38333347	2.0873086
4	3.080413	2.5845323	1.9376107	0.6261448	2.7536922
6	3.9864755	3.7153747	1.6640749	0.91374	4.001382
8	4.6000376	4.7768073	2.7086887	0.96563154	5.108978
10	4.9822874	5.442835	1.1257089	1.200317	6.0008535
12	5.2478676	6.140077	1.5208391	1.2132154	6.887505
14	5.333153	6.7700453	0.99601394	1.4398748	7.441421
16	5.3703904	7.090896	0.7009612	1.3211927	8.230229
20	4.9752374	8.237115	0.9733647	1.3067775	9.431884
24	4.7514477	8.248157	4.120281	0.9438756	9.807731
28					
32					
