# Benchmark Sort (n = 16,777,216)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	OpenMP (nested)	OpenMP (tasks)	Work assisting (our)
1	0.94704974	0.8868518	1.3531258	1.2281729	0.86908513
2	1.8145949	1.7480712	1.8745213	1.8318292	1.7172774
3	2.5740633	2.5692012	2.5125773	2.5688436	2.5304036
4	3.2220557	3.36801	3.2587128	3.3843837	3.3389525
6	4.306709	4.9460783	4.402908	4.9276156	4.8663177
8	5.1442018	6.4378524	5.576672	6.329702	6.3237057
10	5.4939265	7.6203637	6.1262994	7.3608828	7.547161
12	5.639828	8.814929	6.73455	8.360773	8.69554
14	5.7501545	9.720273	6.849776	8.824019	9.585543
16	5.7759843	10.5917425	7.388677	9.531667	10.4094715
20	5.810788	11.770766	7.532243	10.622704	11.539293
24	5.720066	12.138432	7.1498003	11.079623	12.096001
