# Benchmark Sum array (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	Work assisting (our)
1	0.8467702	0.7939776	0.8895958	0.8600273	1.2971327	1.2717501	0.9516706
2	1.5228823	1.4430314	1.4193581	1.5318136	2.3383446	2.2730706	1.6757051
3	1.9889368	1.9846596	1.8279414	2.0363343	2.9075825	3.0646446	2.2327418
4	2.414617	2.3399255	2.3289032	2.5928075	3.3244476	3.491299	2.7132497
6	2.8839583	2.7914903	2.5802424	3.1100876	3.9847438	4.019454	3.3093474
8	3.283444	3.1918378	2.9566424	3.345336	4.223002	4.2857585	3.3599515
10	3.359136	3.2411613	2.5512347	3.3292449	3.8187587	4.124851	3.3172777
12	3.3364666	3.3437197	2.4058046	3.372229	3.5797777	2.777488	3.3978891
14	3.3607671	3.3730507	2.3834367	3.4197135	3.7525074	2.7741482	3.3978891
16	3.400393	3.3673072	2.089825	3.4392548	3.7874146	3.095483	3.5322785
20	3.3730507	3.4755208	2.5802424	3.5188103	3.9608011	3.985891	3.5001264
24	3.3412986	3.4290314	2.5109742	3.225303	3.9950938	3.8570633	3.2556443
28							
32							
