# Benchmark Sum array (n = 536,872,146)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.99363023	0.8912226	0.8924305	0.867235	1.2725435	1.2711217	1.231005	1.0385556
2	1.8586532	1.6965724	1.6952885	1.6350536	2.3439367	2.032884	1.9514247	1.9208574
3	2.1431375	2.3688502	2.38607	2.3060033	2.9797735	2.7232249	2.6429691	2.681355
4	2.8935895	2.8061132	2.8188906	2.7515006	3.1952152	3.0643623	2.9979856	3.1320283
6	3.3921914	3.5012891	3.4994283	3.463618	3.6827502	3.609225	3.5312748	3.7904828
8	3.8272011	3.7872455	3.8077524	3.7761886	3.8334126	3.862028	3.7611556	3.9487724
10	3.8421564	3.5402498	3.3728676	3.8504624	3.692513	3.898753	3.8578453	3.9542336
12	3.8764963	3.6168544	3.3909738	3.8703513	3.602165	3.9053395	3.8760815	3.9331198
14	3.8998725	3.6716118	3.542039	3.8659444	3.5649927	3.911385	3.8498485	3.9108922
16	3.9081492	3.7467585	3.686374	3.8651192	3.6855612	3.8965857	3.8358488	3.9097664
20	3.8693175	3.8480077	3.8352394	3.8226902	3.7481155	3.8765655	3.8056183	3.8650503
24	3.8226902	3.8464413	3.8253148	3.7547865	3.7207754	3.8685598	3.7466938	3.7730415
