# Benchmark Sum function (n = 134,218,962)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	Work assisting (our)
1	1.0257614	0.9420285	0.9272378	0.9885707	0.7793208	0.78461426	0.9834804
2	2.0062003	1.8529071	1.852755	1.972262	1.5493197	1.5557292	1.9662352
3	2.6761234	2.7222946	2.7236528	2.8987975	2.2703319	2.282581	2.8929253
4	3.9128757	3.6269062	3.628306	3.859686	3.0199513	3.0335667	3.8470073
6	4.9838314	5.315221	5.325424	5.655382	4.415897	4.4405785	5.642089
8	6.7377768	6.9544454	6.9035206	7.4129267	5.7452383	5.7786884	7.301778
10	7.6723866	5.0625544	4.4548397	8.273492	4.577511	6.674002	8.098681
12	8.248288	5.6435003	5.3892775	9.208576	5.4338374	7.563004	8.838713
14	9.847309	6.2313952	5.7244434	10.009819	5.987757	8.309037	9.939853
16	10.648837	7.0416946	6.71705	10.756802	6.803329	9.154279	10.7285
20	10.597488	8.78047	8.177935	11.020187	8.483356	9.834719	10.979076
24	10.844345	10.547948	9.026349	11.074637	10.1744175	10.507995	11.016959
28							
32							
