# Benchmark Sum function (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.99591714	0.92996657	0.9202744	0.9683462	1.1172465	1.0967696	1.1068102	0.9782772
2	1.9406234	1.8216242	1.8302015	1.9214368	2.2228487	2.1525543	1.9930751	1.9384978
3	2.290423	2.6736202	2.6856194	2.8344238	3.2729597	3.1756194	2.948669	2.8537757
4	3.759163	3.5431504	3.5498037	3.6989815	4.326606	4.2390685	3.9053006	3.740063
6	4.595525	5.1818466	5.104885	5.423067	6.347604	6.1893744	5.701878	5.509638
8	6.9553475	6.6858773	6.7307816	7.153952	8.322061	8.128506	7.4660263	7.2122602
10	8.007991	4.2701883	4.0944624	8.005678	5.656896	9.188004	8.548716	7.9105086
12	8.764911	4.1403184	5.1590276	8.478137	6.323476	10.263944	9.599423	8.983583
14	9.354363	5.3809676	5.475545	8.973891	6.9675827	11.176969	10.483867	9.78922
16	10.007098	5.9996395	6.4968367	8.649163	7.944508	12.237605	11.474548	8.376535
20	10.370153	8.176448	7.431341	7.95819	9.687748	12.53262	11.915055	8.7843485
24	10.172313	9.850663	8.10001	8.024214	11.64972	12.759472	12.116387	8.12533
