# Benchmark LU (n = 256, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP	Work assisting (our)
1	0.86155784	4.8382525	2.0934865
2	1.6577669	4.790181	4.0117474
3	2.304189	2.4248521	4.1062126
4	2.8194015	3.8935866	4.2665277
6	3.4135778	2.1821086	5.2038097
8	4.0176473	1.5461234	5.3568625
10	4.6226735	0.7549742	5.022059
12	4.5864577	0.6479051	5.3638744
14	4.737572	0.50291467	5.467645
16	4.779009	0.6955784	5.537838
20	3.820979	0.39796066	5.3885603
24	2.9825327	0.29195312	5.0282207
28	3.6442864	0.23793073	4.568562
32	2.5773585	0.21832712	4.3503184
