# Benchmark Primes (1,073,741,824 .. 1,074,266,112)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Naive	Naive (pinned)	Work stealing	Our	Our (specialized loop)
1	0.9940502	0.9923161	0.9999878	1.0000689	1.0000654	1.000327
2	1.9796783	1.9749334	1.970546	1.976554	1.9765248	1.9782174
3	2.625982	2.94418	2.900044	2.9143226	2.9165425	2.917471
4	3.897124	3.8687656	3.8374555	3.8751256	3.877197	3.8767767
6	5.1766667	5.6133904	5.704921	5.8065686	5.8147078	5.815893
8	7.431658	7.29201	7.4283524	7.6163797	7.6181164	7.6249123
10	8.826644	8.63783	9.233291	9.43384	9.462462	9.454111
12	10.180881	9.809898	10.912828	11.2230835	11.245156	11.240376
14	11.457293	8.502155	12.560779	13.0057535	13.032994	13.036742
16	11.990591	8.824864	14.317933	14.828675	14.858183	14.83448
20	13.413171	9.404623	9.307152	14.826424	14.848103	14.847755
24	14.290529	10.827791	11.00026	14.823826	14.840031	14.844629
28	14.535504	12.415681	12.674851	14.82123	14.840291	14.835608
32	14.683216	13.759209	14.230611	14.580418	14.696391	14.486154
