# Benchmark Primes (1 .. 524,289)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Naive	Naive (pinned)	Work stealing	Our	Our (specialized loop)
1	0.8919718	0.896831	1.0060289	1.0007353	1.0094948	1.0096112
2	1.5956072	1.3382208	1.5803313	1.9534609	1.983193	1.979987
3	2.0789258	1.7692552	2.2042615	2.772466	2.874085	2.873141
4	2.7632089	2.1854615	2.464724	3.6426957	3.7791421	3.7847476
6	3.417276	2.8030484	3.103167	5.1828876	5.4885283	5.517207
8	3.9932837	3.249549	4.102425	6.6900806	7.2303424	7.225224
10	4.5722713	3.5236478	5.167145	8.244615	8.915563	8.788892
12	5.1337914	3.6000824	5.5628123	9.621524	10.506262	10.441773
14	5.2128873	3.505495	7.7226987	10.891161	11.975166	11.933165
16	7.551295	3.724895	8.89097	12.052942	13.474367	13.524956
20	9.203637	4.6321006	7.161015	12.354448	13.438886	13.471403
24	10.268444	5.018109	7.2975454	12.327093	13.275743	13.307475
28	11.056328	5.7801795	7.7569346	12.437246	13.209879	13.130574
32	10.630273	5.791659	8.498612	12.223752	12.828027	12.871164
