# Benchmark Primes (1 .. 8,388,609)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Naive	Naive (pinned)	Work stealing	Our	Our (specialized loop)
1	1.0003372	0.9986152	1.0062373	1.0028127	1.0055498	1.0058912
2	1.9886823	1.5851116	1.5861934	1.9790848	1.9813027	1.983113
3	2.7879977	2.2738154	2.2578104	2.8894665	2.9183517	2.917686
4	3.9321163	2.9536688	2.9234266	3.8349228	3.8805604	3.8800294
6	5.6849575	4.256143	4.358823	5.710075	5.8007164	5.8008127
8	7.523577	5.5633335	5.5923295	7.470764	7.610657	7.6125717
10	9.089397	6.4161825	6.9226327	9.266932	9.441784	9.442322
12	10.881969	7.5901904	8.18418	11.009348	11.228697	11.23034
14	11.623393	7.733571	9.452191	12.740309	13.018909	13.027047
16	13.178153	8.167952	10.707325	14.473991	14.848295	14.847455
20	13.656045	8.736098	7.8894877	14.546447	14.870186	14.873419
24	14.354626	9.914066	9.348636	14.641261	14.885097	14.897075
28	14.799765	11.347571	10.818337	14.729801	14.938584	14.925195
32	14.969638	11.420004	12.204761	14.542884	14.656604	14.905895
