# Benchmark Primes (2 .. 4,194,306)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	Work assisting (our)
1	0.975055	0.9746918	0.99916375	0.9938207	1.0074328	1.0078868	0.99857104
2	1.8987672	1.5360007	1.5783461	1.9629105	1.9922123	1.990176	1.9702371
3	2.6535482	2.2366986	2.240286	2.8849766	2.8528743	2.9150298	2.8957396
4	3.5569897	2.7862012	2.9007072	3.728901	3.9040809	3.8724465	3.779978
6	5.0514784	3.9435644	4.2943482	5.4942827	5.584241	5.7835436	5.548476
8	6.6740203	5.0808825	5.4419055	7.252041	7.676242	7.609874	7.296144
10	7.6628656	6.1615806	6.797944	9.135323	9.253365	9.39254	9.106479
12	8.996119	7.2726994	8.008787	10.85903	10.167662	10.624211	10.747623
14	9.644432	8.2286215	9.274959	12.546823	12.480748	13.026605	12.634131
16	10.799408	9.431527	10.4317875	14.404187	14.95785	14.845911	14.547686
20	11.872918	8.753253	7.7458525	14.246976	10.100442	14.779888	14.609431
24	12.700588	9.339597	9.047351	14.417115	11.009539	14.816241	14.64013
28	14.14383	10.189968	10.730472	14.132596	12.819546	15.012799	14.723628
32	14.243115	11.651984	12.043162	13.868063	14.879145	15.031335	14.501172
