# Benchmark Sort (n = 16,777,216)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	Our	Our (specialized loop)
1	0.94624764	0.5835099	0.6639527	0.65959114
2	1.7971015	1.140465	1.3066616	1.2989827
3	2.544285	1.6736009	1.9146369	1.90205
4	3.2193477	2.2034523	2.542918	2.5227234
6	4.3214235	3.2193747	3.7462358	3.7226844
8	5.1451755	4.1064534	4.882086	4.871211
10	5.875469	5.0706825	6.014407	5.9707747
12	6.3836117	5.9206886	7.1065826	7.0395164
14	6.598546	6.6511106	8.122409	8.121666
16	6.7576065	7.382134	9.207301	9.114421
20	5.4575644	8.366586	10.264692	10.176131
24	4.732402	9.047577	11.200842	11.205516
28	4.366559	9.768012	12.082685	12.190602
32	3.841056	9.964068	12.483713	12.9297695
