# Benchmark Sum array (n = 1,073,743,058)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Naive	Naive (pinned)	Work stealing	Our	Our (specialized loop)
1	0.8911597	1.000335	1.0024751	0.9277773	1.0120767	1.0046897
2	1.8125632	1.8154272	1.8436766	1.7409098	1.9022512	1.8217643
3	2.499542	2.4711297	2.6534688	2.4548109	2.6718128	2.5952601
4	3.2789683	3.1233237	3.1128802	2.9084268	3.108936	3.0831203
6	4.3253508	4.086988	4.456087	4.0120034	4.217829	4.1404495
8	5.143811	4.4485407	5.2499003	4.891999	5.1921167	5.1138935
10	5.0797935	4.483068	4.580941	5.1619725	5.4470315	5.380916
12	5.3498125	4.550155	4.7460303	5.302537	5.5443025	5.4985538
14	5.338894	4.534056	5.329231	5.506158	5.739904	5.7079716
16	5.4875913	4.5284777	5.6363654	5.554226	5.7944384	5.7878695
20	5.4892564	4.5875473	4.301954	5.4734993	5.660658	5.660202
24	5.4911613	4.847608	4.5278945	5.4284415	5.567953	5.568345
28	5.4359465	5.1612573	5.067675	5.3663197	5.4902086	5.4835505
32	5.363001	5.293536	5.3161182	5.040078	5.03683	5.205908
