# Benchmark Sum array (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	Work assisting (our)
1	0.82845575	0.8164339	0.668419	0.75378484	1.313317	1.3679188	1.1679381
2	1.5529257	1.2291769	1.3490589	1.4618382	2.2968974	2.3484294	1.9162977
3	2.127931	1.8108304	2.0054357	2.1421092	2.0934885	3.2649064	2.563212
4	2.8687062	2.3597567	2.6232662	2.7425056	3.5716553	3.62341	3.0560837
6	3.4956508	3.4369273	3.5054517	3.7296984	5.0156007	5.2990346	3.9351285
8	4.813904	4.375	4.3513145	4.606017	5.7587	6.2583427	4.779146
10	5.0675526	5.1182623	4.8231893	5.021196	4.07921	5.9270477	5.1534233
12	5.3672786	5.7425365	5.041443	5.20708	4.786261	5.608024	5.307783
14	5.0156007	5.552677	5.3917108	5.4268146	4.926664	5.6290646	5.510529
16	5.1986604	5.6902657	5.670194	5.4810033	6.286313	6.366337	5.549938
20	4.948329	5.1112876	4.3665113	5.2544947	4.98781	5.549938	5.4189744
24	4.6116805	5.175943	4.632565	5.077843	5.2544947	5.5226994	5.249592
28	4.271209	5.1357827	5.0904775	4.861741	5.467687	5.6234384	5.0721207
32	3.6158419	5.1240892	4.79544	4.8764896	6.0173798	5.9774237	4.921277
