# Benchmark Sum function (n = 1,073,743,058)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Naive	Naive (pinned)	Work stealing	Our	Our (specialized loop)
1	1.1444955	1.0443591	1.0574057	1.0624229	1.0734457	1.1370766
2	2.2714121	2.0611115	2.0572348	2.0726836	2.0971487	2.2258646
3	3.0202343	3.0105937	3.0392964	2.9383657	3.0209854	3.2072248
4	4.44297	3.9224298	3.9966574	3.8703103	4.014196	4.259855
6	6.07373	5.644399	5.857632	5.6183295	5.937955	6.2893176
8	8.437067	7.3731055	7.763045	7.3032475	7.859748	8.319047
10	9.680628	7.3920684	9.449599	8.975756	9.755362	10.313351
12	10.6530485	7.5303288	11.0169525	10.629187	11.548725	12.228736
14	12.355098	7.4373245	12.823031	12.136052	13.402501	14.182563
16	13.286018	8.407094	14.274331	13.597116	15.270292	16.17006
20	13.998433	10.144208	10.839355	14.076291	15.796352	16.516542
24	16.43728	11.88885	12.875765	14.515159	16.266193	16.937185
28	16.501585	13.548186	14.118389	14.871978	16.749739	17.250492
32	16.726368	14.489766	15.1961775	15.267734	17.190928	17.599375
