# Benchmark Sum function (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	Work assisting (our)
1	0.8548627	0.87731916	0.9945946	1.0071436	1.0759896	1.0448321	0.99218696
2	1.4139081	1.5111601	1.5188559	2.0124958	2.1417775	2.0833359	1.9720534
3	1.8531013	2.052537	2.3447921	2.9446967	3.1970854	3.094674	2.9377453
4	2.2416244	2.280232	2.287777	3.0785975	4.146228	4.10532	2.993571
6	3.0040817	2.945647	3.3938913	3.176315	6.182639	6.0959167	3.4427986
8	4.0077286	3.6985924	3.7675033	4.068836	7.8141446	8.029562	4.4189935
10	4.913006	4.736558	4.536285	5.572807	8.743996	9.685581	5.4551105
12	6.2905984	5.9696493	5.4040737	7.1989903	10.843247	11.058728	6.385968
14	6.6935263	6.4345946	6.298413	8.319417	11.950764	13.164343	7.8752804
16	7.6628046	7.334369	7.1363187	9.870646	13.804174	15.638108	9.678733
20	9.207425	5.7011495	5.2338276	10.877711	9.147745	15.45276	10.729367
24	11.383336	6.1626	6.268419	11.281088	10.921101	17.067198	11.099976
28	12.662659	7.1801114	7.0747285	11.719544	12.05601	18.019745	11.576829
32	12.227224	8.07265	8.281169	12.267766	21.293514	19.799826	11.926817
