# Benchmark Compactions (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Work assisting (our)
1	0.5487972	1.0725296	1.1965723	0.51600903
2	1.0916054	0.71158385	1.6223001	1.0529885
3	1.0823493	0.8870225	1.3226955	1.2192206
4	1.9481274	1.0853417	1.3050241	1.988531
6	1.9656117	1.48678	1.5984942	1.8840895
8	1.89008	1.9730678	1.5932307	2.296468
10	1.9593182	2.248568	1.5961642	2.4466133
12	1.9248774	2.3986626	1.5934747	2.4607925
14	1.3549984	2.3576205	1.592499	2.4532485
16	1.293986	2.3640494	1.6008309	2.4454632
20	1.1558889	2.3775568	1.5928648	2.3192508
24	1.0905756	2.2726378	1.6026807	2.3868303
28	1.0473697	2.3249526	1.5960417	2.3751142
32	0.9811837	2.1713629	1.5918899	2.3097248
