# Benchmark LUD (n = 512, m = 8)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.9365434	0.9740187	0.99246246	0.98034704
2	1.4825008	1.1378721	1.6911242	1.439244
3	1.6322101	0.9731018	1.5510296	1.8887421
4	1.8234565	1.059904	2.0963023	2.3455634
6	2.9318128	0.94029534	3.096622	3.4050038
8	3.6166444	1.0656928	3.0351074	4.0270205
10	3.9414294	1.0489658	3.627987	4.4849997
12	4.3442416	1.0474733	3.630698	4.968402
14	4.320676	0.88920206	3.584889	5.038996
16	4.3053613	0.9268777	3.8374536	4.498287
20	4.370424	0.7588361	3.9430287	4.690674
24	3.866465	0.7841637	3.7518146	4.11676
28	4.81574	0.8071703	3.9258242	4.442758
32	4.6338577	0.7957222	4.1848407	4.4484525
