# Benchmark Primes (2 .. 1,048,578)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.9803929	0.9984026	1.0030577	0.99300706	1.0047312	1.0006853	0.9822078	1.0032223
2	1.5929219	1.3409889	1.5752664	1.9577614	1.9746299	1.7628281	1.844034	1.9745827
3	2.0063958	1.7889544	2.1084065	2.8713174	2.1692193	1.7397804	1.7498356	2.8932686
4	2.6331866	2.3462348	2.4204721	3.5672345	1.9142672	1.6998485	2.093905	3.8268473
6	3.3398645	2.751338	2.957574	4.155799	2.929118	3.103425	4.1681867	4.729185
8	3.7878425	3.3902323	3.599843	5.2881455	7.335882	6.310222	5.6135945	5.688097
10	4.203225	3.552183	4.0327005	6.6542726	8.378065	8.086151	7.6997666	6.621163
12	6.1365614	3.8510513	4.140054	8.634085	5.6246934	9.781611	7.22538	7.572209
14	7.7109213	3.813845	3.7421417	9.174645	6.5044937	9.87705	8.3912735	7.665784
16	7.737679	3.9623947	4.321452	9.555594	7.5854363	7.9063725	7.7127233	7.66258
20	7.8213015	4.509839	3.962014	9.841703	8.987255	8.616052	8.824322	7.7080393
24	7.7529483	5.5570674	4.80227	11.098809	9.488557	11.095078	10.12866	8.870813
28	7.634925	5.657478	4.82516	11.5421095	8.475755	12.654805	10.6565485	8.819134
32	7.247277	5.994986	5.5615625	13.53951	13.919858	13.728763	11.727506	11.07869
