# Benchmark Scans (n = 4,194,304, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Work assisting (our)
1	1.2335752	1.2239642	1.2151371	1.2310596
2	1.6282177	1.3204099	1.4771006	1.6285635
3	1.7450378	1.5509094	1.2911663	1.7524974
4	1.7574389	1.6207137	1.5934278	1.7541816
6	1.720985	1.6353378	1.4958634	1.7105404
8	1.6299139	1.6494116	1.5757096	1.7132546
10	1.7072644	1.6324128	1.5710919	1.6946968
12	1.6891705	1.6056423	1.5355941	1.6754743
14	1.6747056	1.5940905	1.5965471	1.6677471
16	1.6094853	1.6241128	1.6372586	1.6703634
20	1.6021191	1.6127695	1.7230738	1.6508323
24	1.5956831	1.6084721	1.7529783	1.6303645
28	1.582377	1.6021191	1.6238377	1.6184213
32	1.548904	1.4695971	1.6263869	1.480438
