# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	OpenMP (nested loops)	OpenMP (tasks)	Work assisting (our)
1	0.9919295	0.9392695	1.0140486	0.86022705	0.931979
2	1.4682767	1.4578887	1.0411199	1.5751804	1.4593539
3	1.8018296	1.8943264	0.98817736	1.7276903	1.852675
4	2.069026	2.3111975	0.85736847	2.342676	2.2903416
6	2.5659392	3.296046	0.76180774	4.328388	3.1125124
8	3.1354895	4.4543767	0.7760584	5.5239315	4.248282
10	3.3426309	5.47213	0.86178243	6.4977627	5.0601344
12	3.3230615	5.662193	0.631174	6.349095	5.7614655
14	3.2509112	6.444112	0.530183	5.7155805	6.2518272
16	3.0540502	6.566786	0.6825133	7.002804	6.571624
20	2.691134	7.07742	0.47745296	5.2200484	7.128325
24	2.6141768	7.559874	0.48206082	6.589657	7.687392
28	2.6047976	8.633434	0.46356764	7.551645	8.635823
32	2.4659162	8.89036	0.50697076	8.427183	9.030518
