# Benchmark Sort (n = 262,144)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	OpenMP (nested loops)	OpenMP (tasks)	Work assisting (our)
1	0.48800513	0.98439205	1.1103168	1.2486384	0.97246164
2	0.95257884	1.411414	1.0592593	1.8552344	1.885263
3	1.317071	1.7984061	1.125721	1.3953241	2.1827111
4	1.5827945	2.0697908	0.6119915	1.9757866	2.5846457
6	2.129922	2.8475947	0.57790494	2.8845615	3.2246037
8	2.5608156	3.491177	0.53911906	5.1416874	4.046792
10	2.6131718	4.0343575	0.56019706	5.5400844	4.427652
12	2.781244	4.5332704	0.5291445	5.6528378	5.2084384
14	2.705695	4.6545277	0.40781003	3.9755023	5.41139
16	2.6486337	4.2592154	0.4373486	4.044525	5.1471844
20	2.1771178	4.7792854	0.41530323	3.8669343	5.2235084
24	2.1813924	5.1748476	0.4062614	5.107143	5.0394278
28	2.0015244	4.8191524	0.36847207	5.4958143	5.55073
32	1.7403302	4.6816854	0.542399	6.081263	5.4134183
