# Benchmark Sum array (n = 33,555,666)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.5700773	0.9197948	0.9242365	0.77797306	1.5291513	1.522085	1.3829705	0.979935
2	1.1148458	1.018042	1.0433149	1.1599509	2.109787	1.8065051	1.8768884	1.4725515
3	1.436264	1.4635735	1.2693135	1.3966079	1.6902971	1.2638764	1.7730346	1.6026932
4	1.9516329	1.8682232	1.598172	1.5879583	1.9486791	1.0297368	1.7474399	1.7219453
6	2.0923326	2.1619601	1.8472675	1.9206672	1.8520988	1.5281614	2.1259382	1.8746525
8	2.0963588	2.1416905	1.7815094	2.0282114	1.7690482	1.317611	2.1160915	1.9183259
10	2.08863	1.9687239	1.7134043	2.0024035	1.6662353	1.1777962	2.0880141	1.9082458
12	2.0561848	2.0687993	1.8889037	1.9919832	1.9670833	1.7721472	2.0660832	1.861593
14	2.013506	2.0730386	1.9537867	1.9676299	1.7169354	2.0776	1.992824	1.8846307
16	1.9167682	2.0766861	1.6814674	1.9364233	1.7250913	1.6299919	1.9805622	1.8701967
20	1.3774557	1.9243207	1.9597343	1.9136603	1.8833777	1.5629001	1.9414668	1.8258348
24	1.2362953	1.9581087	1.8550098	1.898271	1.8284276	1.4694958	1.9005636	1.8178668
28	1.3839164	1.983058	1.7049476	1.8472675	1.5693074	1.3972968	1.8906687	1.7844274
32	1.1846926	1.9670833	1.700036	1.6808687	1.7219453	1.7485185	1.845823	1.5473615
