# Benchmark Sum function (n = 1,049,810)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.9229135	0.9940469	1.0102123	1.005468	0.9931412	0.99190867	0.988425	0.9803588
2	1.0130976	1.2586558	1.5862087	1.4993247	1.9306281	1.9014782	1.9162484	1.5438858
3	1.3780689	1.4292594	1.4314437	2.187012	1.8479038	2.8311136	1.8899678	1.9410679
4	2.017365	1.8707402	1.9867431	2.8069863	2.4777217	2.6942022	1.8758332	2.3612874
6	2.971301	2.8064606	2.7322698	3.8810048	2.3031352	3.155717	3.4602864	3.3440812
8	4.513666	3.8867924	3.7477963	5.035363	3.8500962	6.667334	4.5886407	4.5558596
10	5.576891	3.8017504	4.7027535	6.405856	7.1457863	7.385241	6.367074	5.4675303
12	7.8628016	4.5742846	5.515826	7.329258	8.631534	7.5890617	8.027049	6.3758774
14	9.13115	5.3044863	4.9971657	8.063761	8.439532	10.011022	9.164654	6.89748
16	9.42399	6.0723257	5.434814	8.412293	6.001201	6.4065404	10.240178	7.4615383
20	8.572287	6.295526	6.92697	9.288194	7.982157	5.7862935	10.630609	8.377027
24	7.791266	7.1076593	8.230948	10.764231	10.383856	10.91515	11.398745	9.370955
28	6.9583287	7.587141	8.987407	11.962882	12.54888	9.102035	11.381432	9.875783
32	5.7896466	7.669652	9.4851265	13.973427	17.15684	13.624091	11.20905	10.9751005
