# Benchmark Sum function (n = 263,378)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.516142	0.886146	0.5682793	0.52564234	1.039091	1.0473074	1.0351704	0.99192977
2	0.95215666	1.0537	0.9614518	1.0360081	1.9904133	2.0086286	1.9981792	1.488904
3	1.3517509	1.4644934	1.4354854	1.5353253	1.518632	1.255947	1.9793868	1.9692386
4	2.0479872	1.89562	1.91047	2.0223773	1.8273073	1.2142575	1.8793883	2.4406672
6	2.8632128	2.8026268	2.817015	2.9625916	2.8159823	2.9949317	3.6906078	3.24683
8	4.263041	3.678238	3.750061	3.9074264	5.048965	4.4819136	4.4494643	3.980311
10	6.0751286	3.94252	4.1955214	4.7405124	4.489772	5.0406823	5.1782947	4.538848
12	7.07041	4.4714785	4.999675	5.504837	5.438584	4.5108633	6.732691	5.5970855
14	7.368825	4.839055	4.7244773	5.88659	7.3127084	4.6727495	7.5313725	6.1431427
16	7.422222	5.25265	5.1298833	6.160385	6.6887245	5.950426	7.49098	6.6252694
20	6.5406556	4.8929935	5.76078	6.8406057	5.2311883	5.0127244	9.091125	6.9238396
24	5.254446	5.227628	6.008604	7.7478566	6.9176044	3.6520085	9.356882	7.2608695
28	4.1036325	5.824109	6.2252836	7.590909	7.501953	3.4989753	9.693376	6.9520364
32	2.851522	5.6672816	3.8671029	7.411481	10.430414	3.081428	9.842409	8.090574
