# Benchmark Compactions (n = 4,194,304, m = 4)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Work assisting (our)
1	0.99821746	1.0013411	0.8128901	0.9617036
2	1.7968875	1.0374212	1.3820336	1.7521902
3	1.758794	1.4941303	1.3521671	2.0014296
4	2.7599802	1.9050859	1.9086571	2.7210884
6	2.745771	2.536232	1.9148573	2.8268552
8	2.6936028	2.9850745	1.9096334	3.1863441
10	2.749141	3.0601094	1.6679077	3.23793
12	2.7297099	3.041825	1.8976618	3.1638417
14	2.305001	3.0245748	1.9109367	3.088803
16	2.3135717	2.9357798	1.9164956	3.0237582
20	2.3140495	2.8615227	1.8934911	2.918947
24	2.3401587	2.7979016	1.9135486	2.8225806
