# Benchmark LUD (n = 512, m = 16)
# Speedup compared to a sequential implementation.
# NCPU	Work stealing	OpenMP (loops)	OpenMP (tasks)	Work assisting (our)
1	0.88965166	1.1509476	1.0894022	0.9431836
2	1.7281904	1.2603308	1.8511547	1.8299829
3	2.4523108	1.7892134	2.6692975	2.615757
4	3.2248838	2.1271667	3.603066	3.4197288
6	4.452638	2.5773497	5.096288	4.786676
8	5.723858	2.6901836	6.5668507	6.00563
10	5.934522	2.589059	6.3736787	6.382479
12	6.213742	2.6263258	6.144904	6.675385
14	6.3903227	2.8964005	6.0775747	6.9753523
16	6.5348725	2.9933083	6.2746606	7.246299
20	6.8243113	3.101081	6.457777	7.6924925
24	7.0569973	3.0008657	6.5876484	7.8433256
