# Benchmark Primes (2 .. 1,048,578)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.9823026	0.9930828	0.98717356	0.9569927	0.97607374	0.984375	0.953895	0.9777569
2	1.9199743	1.5917345	1.5911125	1.8734787	1.937246	1.6034724	1.5495554	1.909335
3	2.5833669	2.2462766	2.2332852	2.7414775	2.754797	2.3577745	2.2523758	2.7913628
4	3.660157	2.9018528	2.8656516	3.6281388	3.7527647	3.135228	2.9971898	3.6848469
6	5.227941	4.14328	4.0151486	5.2784586	5.1694174	4.605964	4.363238	5.3786025
8	6.6626506	5.3889556	4.984754	6.817808	6.802278	6.009257	5.642857	6.9814525
10	7.8888693	3.7098725	3.5541537	7.8050184	4.90023	6.8795886	6.359932	8.015927
12	8.709508	3.45625	4.1166253	8.619011	5.6771865	7.7030096	7.1600065	8.855872
14	9.554821	4.045245	4.4824376	9.457981	5.7670918	8.441953	7.722931	9.754573
16	10.173291	3.9496517	4.968168	10.275981	6.9349747	9.21477	8.325836	10.647255
20	10.490164	5.3426766	6.1783447	10.556917	8.381924	9.748204	9.065574	10.6777115
24	10.330489	8.230981	6.012483	10.832648	8.558082	10.145639	9.695455	10.887943
