# Benchmark Scans (n = 4,194,304, m = 2)
# Speedup compared to a sequential implementation.
# NCPU	Outer parallelism	Inner parallelism	OpenMP	Work assisting (our)
1	0.97732955	0.96663135	1.0172799	0.95700055
2	1.5212559	1.24206	1.5869565	1.5037078
3	1.5237963	1.5501132	1.6179078	1.6289794
4	1.5318971	1.8354006	1.6102941	1.8521651
6	1.5082644	2.5172415	1.6093475	2.4920347
8	1.524645	2.7157738	1.6027517	2.6681287
10	1.503295	2.6733398	1.599007	2.6398265
12	1.4861563	2.4965801	1.5994742	2.5935576
14	1.4865599	2.4740171	1.5869565	2.5242047
16	1.4761391	2.4662163	1.5263451	2.5453277
20	1.4725659	2.3814702	1.6084019	2.4268618
24	1.3846737	2.3199153	1.6018139	2.3538263
