# Benchmark Sort (n = 1,048,576)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	OpenMP (nested loops)	OpenMP (tasks)	Work assisting (our)
1	0.98597926	0.94255006	1.3091185	1.2572592	0.93170583
2	1.8830112	1.8682142	2.4179146	2.3743815	1.8480959
3	2.6144068	2.7293696	3.3854594	3.5807655	2.7095358
4	3.2839944	3.6114557	4.1786666	4.5975337	3.592182
6	4.31972	5.226704	5.7947226	6.6935296	5.1999598
8	5.063801	6.722179	7.06874	8.656756	6.684896
10	5.1621513	7.9054303	6.8185763	9.707436	7.96986
12	5.0911593	8.9745455	7.4604864	10.934177	9.078298
14	5.025989	9.966923	7.793684	11.712543	10.112781
16	5.1319933	11.088575	7.3306932	12.591837	11.16742
20	5.121344	12.290254	8.296462	13.649723	12.416866
24	5.0075364	13.371517	8.449299	14.420701	13.392248
