# Benchmark Sort (n = 262,144)
# Speedup compared to a sequential implementation.
# NCPU	Sequential partition	Work stealing	OpenMP (nested loops)	OpenMP (tasks)	Work assisting (our)
1	1.0209304	0.99030083	1.2293878	1.214149	0.9877839
2	1.9215311	1.9517252	2.2770743	2.2676454	1.9533074
3	2.6197	2.8175864	3.1212435	3.3531868	2.8169277
4	3.2623882	3.6720512	3.994695	4.365217	3.6720512
6	4.1359425	5.159743	4.8896103	6.072581	5.184165
8	4.7414403	6.4324613	6.191161	7.409594	6.4324613
10	5.026283	7.3329277	5.4245834	8.235133	7.3240123
12	5.017909	7.9735274	4.947844	8.87187	7.9159
14	5.028381	8.454737	5.5266056	9.6	8.442887
16	4.9155445	8.800585	4.7321286	10.04	8.762182
20	4.691589	9.203973	5.9555116	10.786034	9.253456
24	4.4688425	9.5695	4.9095354	11.697087	9.723971
