# Benchmark Sum array (n = 67,110,098)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.9494253	0.8710536	0.8870568	0.80848694	1.4097784	1.4138621	1.4214233	1.0537368
2	1.7536582	1.629043	1.6874096	1.5107772	2.621582	2.2255845	2.2300217	1.7522846
3	2.099398	2.2436273	2.35173	2.1319091	3.1153533	2.8878012	2.848276	2.4420085
4	2.8036554	2.6634586	2.7778354	2.6047933	3.2934608	3.1803105	3.0991688	2.8822203
6	3.2614505	3.261847	3.5556293	3.2862039	3.7430284	3.7472084	3.5980432	3.4931686
8	3.7435503	3.7461624	3.9087071	3.7274368	3.8871996	3.9947917	3.8653708	3.7310631
10	3.7140288	3.2789788	3.103827	3.7160852	3.358984	3.83281	3.793274	3.7398996
12	3.712488	2.8455586	3.2646236	3.7461624	3.354367	3.8421354	3.801331	3.734177
14	3.7099226	3.458516	3.3581436	3.7629662	3.4540658	3.8559322	3.7708948	3.7545455
16	3.7222683	3.6038394	3.4452002	3.7629662	3.4922597	3.8322628	3.7582247	3.7269194
20	3.6643462	3.7207208	3.5275953	3.7582247	3.5980432	3.822985	3.726402	3.7222683
24	3.5889037	3.7687771	3.4963531	3.7398996	3.6618469	3.8148358	3.7007167	3.7238173
