# Benchmark Sum function (n = 1,049,810)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.9986684	0.97928333	0.9754133	0.98026794	1.0114639	1.005803	1.0007956	0.9796277
2	1.9434865	1.9220306	1.9455225	1.9466879	1.9930495	1.9742824	1.9723852	1.9370189
3	2.3303256	2.8076315	2.8620284	2.8593006	2.9148667	2.8999107	2.8964646	2.8353934
4	3.7140954	3.7137415	3.794318	3.7906299	3.8569875	3.8615704	3.8611882	3.7581189
6	4.766899	5.407377	5.519887	5.523796	5.622549	5.6650205	5.6543427	5.4834085
8	6.75407	7.1060495	6.6436114	7.1516595	7.351178	7.363671	7.3497925	7.0815325
10	7.8656716	3.3979263	4.4437103	8.177396	4.3941407	8.292154	8.2204895	8.111065
12	8.666223	2.7941535	5.1245728	8.962997	5.2565036	9.2434225	9.15446	8.881349
14	9.539628	4.6178803	5.5481577	9.838042	5.8608356	9.976464	9.588886	9.783743
16	10.262631	5.2241125	5.936672	10.701976	6.697235	10.881139	10.629054	10.637753
20	11.353129	8.765565	5.6379933	12.1036625	8.348962	12.491352	12.309975	12.10742
24	11.828329	10.637753	5.785195	13.255609	10.087429	13.61662	13.9129505	13.328093
