# Benchmark Sum function (n = 263,378)
# Speedup compared to a sequential implementation.
# NCPU	Rayon	Static	Static (pinned)	Work stealing	OpenMP (static)	OpenMP (dynamic)	OpenMP (taskloop)	Work assisting (our)
1	0.8872031	0.89675945	0.97036743	0.9775124	1.0872067	1.0825344	1.0698029	0.9773179
2	1.7168822	1.7307963	1.9262745	1.9168781	2.1384416	2.1149623	2.1000428	1.9090556
3	1.9217527	2.6316636	2.8157065	2.7932897	3.1137877	3.109845	3.0825226	2.7743576
4	3.487398	3.4591548	3.7001884	3.6752713	4.1156263	4.1156263	4.0578275	3.6264305
6	4.49611	4.9969482	5.327549	5.34494	5.968408	5.9073963	5.8685784	5.293103
8	6.151534	6.642326	6.8843727	6.913441	7.8278885	7.7968254	7.7232704	6.8747377
10	6.9231853	1.601043	3.3166778	7.7783055	4.865775	8.62511	8.572426	7.7293468
12	7.6930304	1.6636748	3.193758	8.304311	5.8164597	9.537864	9.473481	8.276327
14	8.125724	2.6003177	3.2637873	8.97989	6.366818	10.362869	10.117405	8.389411
16	8.587413	5.718277	2.4946673	9.500967	7.2288446	11.088037	11.038202	9.4643545
20	8.88246	8.085597	1.8386674	10.330179	8.802867	12.676129	11.626036	10.319327
24	8.542608	9.400957	2.3626745	10.330179	9.923232	13.915014	12.825066	10.212058
